ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,397503,Treatment of diarrhea: Intravenous solution,0.3,1,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_IVS,94096110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCIVS,,2008-09,DHS,738,756,,,
KEN,761284,Treatment of diarrhea: Intravenous solution,0.2,1,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_IVS,94096110,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCIVS,,2008-09,DHS,909,946,,,
KEN,397504,Treatment of diarrhea: Injection,2.4,1,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_INJ,94096120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCINJ,,2008-09,DHS,738,756,,,
KEN,761285,Treatment of diarrhea: Injection,2.1,1,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_INJ,94096120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCINJ,,2008-09,DHS,909,946,,,
KEN,397516,Treatment of diarrhea: Home remedy - other,25.8,1,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_HOM,94096130,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCHOM,,2008-09,DHS,738,756,,,
KEN,761286,Treatment of diarrhea: Home remedy - other,23.6,1,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_HOM,94096130,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCHOM,,2008-09,DHS,909,946,,,
KEN,397517,Treatment of diarrhea: No treatment,13,1,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_NOT,94096140,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCNOT,,2008-09,DHS,738,756,,,
KEN,761287,Treatment of diarrhea: No treatment,13,1,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_NOT,94096140,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCNOT,,2008-09,DHS,909,946,,,
KEN,761293,Treatment of diarrhea: don't know or missing,0,1,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_DKM,94096150,S,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCDKM,,2008-09,DHS,909,946,,,
KEN,397512,Number of children born in the last five (or three) years,738,0,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_NUM,94096160,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCNUM,,2008-09,DHS,,756,,,
KEN,762767,Number of children born in the last five (or three) years,909,0,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_NUM,94096160,D,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCNUM,,2008-09,DHS,,946,,,
KEN,173209,Number of children born in the last five (or three) years (unweighted),756,0,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_UNW,94096170,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIATCUNW,,2008-09,DHS,738,,,,
KEN,305068,Number of children born in the last five (or three) years (unweighted),946,0,KE,Kenya,2008,KE2008DHS,CH_DIAT_C_UNW,94096170,U,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIATCUNW,,2008-09,DHS,909,,,,
KEN,551686,Feeding practices during diarrhea: Increased amount of fluids,24.6,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LMR,94136010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLMR,,2008-09,DHS,738,756,,,
KEN,448610,Feeding practices during diarrhea: Increased amount of fluids,26.1,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LMR,94136010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLMR,,2008-09,DHS,909,946,,,
KEN,551677,Feeding practices during diarrhea: ORT and continued feeding,38.8,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_FAL,94136015,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCFAL,,2008-09,DHS,738,756,,,
KEN,448608,Feeding practices during diarrhea: ORT and continued feeding,38.9,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_FAL,94136015,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCFAL,,2008-09,DHS,909,946,,,
KEN,551682,Feeding practices during diarrhea: Same amount of fluids,32,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LSM,94136020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLSM,,2008-09,DHS,738,756,,,
KEN,448603,Feeding practices during diarrhea: Same amount of fluids,31.7,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LSM,94136020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLSM,,2008-09,DHS,909,946,,,
KEN,551683,Feeding practices during diarrhea: Somewhat less fluids,17.6,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LLS,94136030,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLLS,,2008-09,DHS,738,756,,,
KEN,448605,Feeding practices during diarrhea: Somewhat less fluids,17.1,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LLS,94136030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLLS,,2008-09,DHS,909,946,,,
KEN,551685,Feeding practices during diarrhea: Much less fluids,23.5,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LML,94136040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLML,,2008-09,DHS,738,756,,,
KEN,448606,Feeding practices during diarrhea: Much less fluids,23.1,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LML,94136040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLML,,2008-09,DHS,909,946,,,
KEN,551687,Feeding practices during diarrhea: Stopped fluids completely,2.2,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LNO,94136060,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLNO,,2008-09,DHS,738,756,,,
KEN,448613,Feeding practices during diarrhea: Stopped fluids completely,1.8,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LNO,94136060,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLNO,,2008-09,DHS,909,946,,,
KEN,551678,Feeding practices during diarrhea: don't know or missing on fluids given,0.1,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LDK,94136070,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLDK,,2008-09,DHS,738,756,,,
KEN,448617,Feeding practices during diarrhea: don't know or missing on fluids given,0.1,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LDK,94136070,S,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLDK,,2008-09,DHS,909,946,,,
KEN,551672,Feeding practices during diarrhea: Total,100,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LTO,94136080,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCLTO,,2008-09,DHS,738,756,,,
KEN,448614,Feeding practices during diarrhea: Total,100,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_LTO,94136080,T,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCLTO,,2008-09,DHS,909,946,,,
KEN,551679,Feeding practices during diarrhea: Increased amount of food,5.3,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_FMR,94136090,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCFMR,,2008-09,DHS,738,756,,,
KEN,448618,Feeding practices during diarrhea: Increased amount of food,5,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_FMR,94136090,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCFMR,,2008-09,DHS,909,946,,,
KEN,551688,Feeding practices during diarrhea: Same amount of food,27.1,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_FSM,94136100,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCFSM,,2008-09,DHS,738,756,,,
KEN,448602,Feeding practices during diarrhea: Same amount of food,28.7,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_FSM,94136100,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCFSM,,2008-09,DHS,909,946,,,
KEN,551689,Feeding practices during diarrhea: Somewhat less food,21.5,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_FLS,94136110,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCFLS,,2008-09,DHS,738,756,,,
KEN,448604,Feeding practices during diarrhea: Somewhat less food,22.5,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_FLS,94136110,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHDIFPCFLS,,2008-09,DHS,909,946,,,
KEN,551671,Feeding practices during diarrhea: Much less food,31.2,1,KE,Kenya,2008,KE2008DHS,CH_DIFP_C_FML,94136120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHDIFPCFML,,2008-09,DHS,738,756,,,
